NAME1,SCHEDULES_ALL,SCHEDULES_COMMENT,SCHEDULES_DAYOFF,SCHEDULES_SUMMER,SCHEDULES_WINTER,TITLE, 
Δημητριάδα (βασιλικές Α΄ και Β΄),,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Δημοτική Αγορά Λέρου,,,,,,Αρχαιολογικός Χώρος, 
Διδυμότειχο,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Διμαρίστικα,,,,,,Αρχαιολογικός Χώρος, 
Διμήνι, 08:00-15:00,,,,,Αρχαιολογικός Χώρος, 
Διοκλητιανούπολη,Καθημερινά: από τις 8:30 π.μ. έως 15:00 μ.μ.,,,,,Αρχαιολογικός Χώρος, 
Δίον,,,,,Καθημερινά: 08.00-15.00,Αρχαιολογικός Χώρος, 
Δολίχη,,,,,,Αρχαιολογικός Χώρος, 
Δυμόκαστρο,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Δύστος,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Δυτικοί λόφοι Αθηνών,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Δωδώνη,,Δευτέρα κλειστά,,08.00-15.00,,Αρχαιολογικός Χώρος, 
Δωρίδα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Έδεσσα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ελάτεια,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ελέα,,,,,"Τρίτη ~ Kυριακή:  8.00 ~ 15.00 
Δευτέρα: Κλειστός",Αρχαιολογικός Χώρος, 
Ελευθερές,,Χώρος διαρκώς επισκέψιμος,,,,Αρχαιολογικός Χώρος, 
Ελεύθερνα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ελευσίνα,"Τρίτη-Κυριακή:
 08:00-15:00",Δευτέρα: κλειστά,,,,Αρχαιολογικός Χώρος, 
Ελευσίνα-Η Γέφυρα του Ελευσινιακού Κηφισού,,,,,,Αρχαιολογικός Χώρος, 
Ελληνικά Ανθείας - Αρχαία Θουρία,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ελληνιστικό νεκροταφείο  Ελληνικών Κοπάνης,,,,,,Αρχαιολογικός Χώρος, 
Ελληνόπυργος,,Υπαίθριος χώρος. Ανοικτός συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Έλυρος,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Εξαμίλιο τείχος,,,,,,Αρχαιολογικός Χώρος, 
Επίδαυρος - Λιμηρά,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Επισκοπή Τεγέας,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Επιτάλιο,,,,,,Αρχαιολογικός Χώρος, 
Ερέτρια,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ερμήτσι,,Ο αρχαιολογικός χώρος είναι ένας ανοιχτός επισκέψιμος χώρος.,,,,Αρχαιολογικός Χώρος, 
Ευρωπός,,Ο χώρος είναι επισκέψιμος μόνον κατόπιν συνεννόησης με την Υπηρεσία.,,,,Αρχαιολογικός Χώρος, 
Εύτρηση,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Εφύρα,,,,,,Αρχαιολογικός Χώρος, 
Εχίνος,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ζαγορά Άνδρου,,,,,,Αρχαιολογικός Χώρος, 
Ζάκρος,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ήλιδα,"08:00-15:00

Δευτέρα Κλειστά",,,,,Αρχαιολογικός Χώρος, 
Ηραίον Άργους,,,,,Από 1η Νοεμβρίου 2013 έως 31 Μαρτίου 2014: 08:00-15:00,Αρχαιολογικός Χώρος, 
Θέατρο Ασκληπιείου Επιδαύρου,,,,"Από 1η Απριλίου 2014:
8:00-20:00",Μάρτιος 2014:  8:00-18:00,Αρχαιολογικός Χώρος, 
Θερμοπύλες,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
"Θεσπιές Βοιωτίας, Κοιλάδα των Μουσών",,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Θήβα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Θίσβη,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Θόλος/ Θυμέλη στο Ιερό του Ασκληπιού Επιδαύρου,,,,Από 1η Απριλίου 2014: 8:00-20:00,Μάρτιος 2014: 8:00-18:00,Αρχαιολογικός Χώρος, 
Θορικός,,Ο χώρος είναι ελεύθερα επισκέψιμος καθημερινά,,,,Αρχαιολογικός Χώρος, 
Ιαλυσός,,,,Από 1η Απριλίου 2014 έως την 31η Οκτωβρίου 2014: 8.00 - 20.00 καθημερινά,"Από 1η Νοεμβρίου έως 31 Μαρτίου 08:30-15:00
Δευτέρα κλειστά.",Αρχαιολογικός Χώρος, 
Ιαματικά λουτρά Παντελίδη,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Απόλλωνος Δειραδιώτη και Αθηνάς Οξυδερκούς,,Χώρος διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Ιερά Μοn- Repos,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ιερά Μονή Αγίου Βλασίου  ,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Αγίου Γεωργίου,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Αγίου Λαυρεντίου,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Θεοτόκου Καλών Νησιών,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Μεταμόρφωσης Σωτήρος,,,,,,Αρχαιολογικός Χώρος, 
"Ιερά Μονή Οσίου Νικάνορος, Ζάβορδας",,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Παναγίας,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Παναγίας του Βράχου,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Παναγίας Χρυσίνου,,,,,,Αρχαιολογικός Χώρος, 
Ιερά Μονή Προφήτη Ηλία ,,,,,,Αρχαιολογικός Χώρος, 
Ιερό Αθηνάς,,,,,,Αρχαιολογικός Χώρος, 
Ιερό Απόλλωνος Μαλεάτα,,Χώρος μη επισκέψιμος,,,,Αρχαιολογικός Χώρος, 
Ιερό Αρτέμιδος στη Ρακίτα Αχαϊας,,Ο χώρος προσωρινά δεν  είναι επισκέψιμος. Τηλέφωνα επικοινωνίας: 2610275070 και 2610623820 (ΣΤ΄ ΕΠΚΑ).,,,,Αρχαιολογικός Χώρος, 
Ιερό Αυλιδείας Αρτέμιδος,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ιερό Διονύσου και Νυμφών (Ιερό Άμμωνα Δία),,,,,,Αρχαιολογικός Χώρος, 
Ιερό Ορθίας Αρτέμιδος,,Ο αρχαιολογικός χώρος δεν είναι επισκέψιμος λόγω εργασιών.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ιερό Ποσειδίου,,,,,,Αρχαιολογικός Χώρος, 
Ιερό Ποσειδώνος στην Καλαυρεία Πόρου,,,,Καθημερινά: 08:30-15:00,Καθημερινά: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ιερό Ποσειδώνος στο Σούνιο,8:00π.μ. έως τη δύση του ηλίου,,,8.00-δύση ηλίου,9:30-17:00,Αρχαιολογικός Χώρος, 
Ιερό της Αφροδίτης Δαφνίου,,,,,,Αρχαιολογικός Χώρος, 
Ιερό της Δέσποινας - Λυκόσουρα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ιερό της Μεγάλης Μητέρας (Μάνταλ Παναγιά),,,,,,Αρχαιολογικός Χώρος, 
Ιερό του Απόλλωνος των Αβών,,Κλειστό λόγω εργασιών.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ιερό του Διός στη Νεμέα,,,,8:00-15:00 έως 31-10-2012,,Αρχαιολογικός Χώρος, 
Ιερό των Μεγάλων Θεών Σαμοθράκης,08:30-15:00,,,,,Αρχαιολογικός Χώρος, 
Ίωρον,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Καβείριο Θηβών,,"Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.
",,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Καλή Βρύση,,Υπάρχει η δυνατότητα επίσκεψης στο χώρο μετά από συνεννόηση με τον Αρχιφύλακα του Μουσείου Δράμας στο τηλ. 2521031365,,,,Αρχαιολογικός Χώρος, 
Καλλίθηρα,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Κάλλιον,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Καλογερόβρυση,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Καλυδώνα,Τρίτη - Κυριακή: 08:00 - 15:00.,Δευτέρα κλειστά,,,,Αρχαιολογικός Χώρος, 
Κάμειρος,"
",,,Από 1η Απριλίου 2014 έως την 31η Οκτωβρίου 2014: 8.00 - 20.00 καθημερινά,"Από 1η Νοεμβρίου έως 31 Μαρτίου 08:00-15:00
Δευτέρα Κλειστά.",Αρχαιολογικός Χώρος, 
Καμενίτσα Γορτυνίας,,Ο χώρος παραμένει διαρκώς ανοιχτός.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάμπος Ικαρίας,08:30-15:00,,,,,Αρχαιολογικός Χώρος, 
Κάμπος Χίου,,O χώρος παραμένει διαρκώς ανοιχτός.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κασσώπη,,,,ΔΕΥΤΕΡΑ -ΠΑΡΑΣΚΕΥΗ 08:00-16:00,ΔΕΥΤΕΡΑ -ΠΑΡΑΣΚΕΥΗ 08:00-16:00,Αρχαιολογικός Χώρος, 
Καστρί Ποταμίας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Αγίου Γεωργίου,,1η Μαΐου: κλειστό,,Από 29 Απριλίου έως 31 Οκτωβρίου: 08:30-15:30,,Αρχαιολογικός Χώρος, 
Κάστρο Ακροκορίνθου,08:00-15:00,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Ανδρούσας,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Αντιμάχειας,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Απολακκιάς,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Απολλώνων,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Άργους,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Βελίκας,,Υπαίθριοι Αρχαιολογικοί χώροι. Ανοιχτοί συνεχώς,,,,Αρχαιολογικός Χώρος, 
Κάστρο Βόλου,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Γλαρέντζας,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Ζακύνθου,,1η Μαΐου: κλειστό,,Από 1η Απριλίου έως 31 Οκτωβρίου 2014: 08:00-15:00,,Αρχαιολογικός Χώρος, 
Κάστρο Ιωαννίνων,,,,,08.00-22.00,Αρχαιολογικός Χώρος, 
Κάστρο και παλαιοχριστιανική βασιλική Μηλιωπού,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Καλλιθήρου,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Κάστρο Κατταβιάς,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Κορώνης,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Κοσκινού,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Κυπαρισσίας,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Λαμίας,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Λαχανιάς,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Μανδρακίου ,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Μεθώνης,Τρίτη - Κυριακή 8:00 - 15:00,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Μικρού Χωριού,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Μυτιλήνης,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Παράλιου Άστρους,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Πάτρας,Τρίτη - Κυριακή 8:00-15:00,Κλειστός κάθε Δευτέρα και τις επίσημες αργίες,,,,Αρχαιολογικός Χώρος, 
Κάστρο Πέρα,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Περιπάτου,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Πηδήματος,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Πλαταμώνα,Καθημερινά: 08:00-15:00,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Σαλάκου,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Σίφνου,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Φορτέτζα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Χίου,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Χλεμούτσι,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κάστρο Χώρας Καλύμνου,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Χωριού Σύμης,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Χωριού Χάλκης,,,,,,Αρχαιολογικός Χώρος, 
Κάστρο Ψίνθου,,,,,,Αρχαιολογικός Χώρος, 
Κατάπολα Αμοργού,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Καταρράκτης,,Ο χώρος είναι επισκέψιμος κατόπιν συνεννοήσεως με τη ΣΤ' Ε.Π.Κ.Α.στο τηλέφωνο 2610275070.,,,,Αρχαιολογικός Χώρος, 
Κάτω Σαμικό,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Καφυές,,Ο χώρος παραμένει διαρκώς ανοιχτός.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κεντρική κτιριακή ενότητα (Γαλεριανό συγκρότημα),,,,,,Αρχαιολογικός Χώρος, 
Κεραμεικός,"Δευτέρα-Κυριακή: 
08.00-20.00",,,,,Αρχαιολογικός Χώρος, 
Κεραμεικός - Φιγαρέτο Κέρκυρας,,Επισκέψιμο μετά από συνεννόηση με τον φύλακα.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κεραμιδαριά,,,,,,Αρχαιολογικός Χώρος, 
Κεραμικά εργαστήρια αρχαίας πόλης Κέρκυρας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κιόνια Τήνου,,,,Τρίτη-Κυριακή: 08:00-15:00,,Αρχαιολογικός Χώρος, 
Κίρρα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κίσαμος,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κλειστός πολεμικός λιμένας Θάσου,,,,,,Αρχαιολογικός Χώρος, 
Κλειστός πολεμικός λιμένας της Αρχαίας πόλεως Σάμου,,,,,,Αρχαιολογικός Χώρος, 
Κλίμακες Πάτρας,,,,,,Αρχαιολογικός Χώρος, 
Κνωσός,,,,Καθημερινά 08.00-20.00. Τελευταία είσοδος 19.45,,Αρχαιολογικός Χώρος, 
Κορσιαί Βοιωτίας,,Υπαίθριοι χώροι - ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κουφονήσι,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κράνη Κεφαλονιάς,,,,,,Αρχαιολογικός Χώρος, 
Κραννών,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Κρίσσα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Κτιμένη,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,,Αρχαιολογικός Χώρος, 
Κυδωνία,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κύμη,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κύνος,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Κωνστάντια,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Λαδοχώρι,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Λαζαρέτο,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λάρυμνα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λατομείο ερυθρού ταινάριου λίθου,,,,,,Αρχαιολογικός Χώρος, 
Λατώ,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λεβήνας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λείβηθρα,,"Ο αρχαιολογικός χώρος με εξαίρεση την περιοχή του Κουφού, όπου γίνονται εργασίες, είναι επισκέψιμος.",,,Από 1η Νοεμβρίου 2013 έως 31 Μαρτίου 2014: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λέπρεο,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λέρνα,,,,,Από 1η Νοεμβρίου 2013 έως 31η Μαρτίου 2014: 08:00-15:00,Αρχαιολογικός Χώρος, 
Λευκαντί,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λεχαίου λιμήν,,,,,,Αρχαιολογικός Χώρος, 
Λιθαρές,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λιλαία - Πολύδροσο,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Λιμάνι Κέρκυρας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λίνδος,,,,Από 1η Απριλίου 2014 έως την 31η Οκτωβρίου 2014: 8.00 - 20.00 καθημερινά,"Από 1η Νοεμβρίου έως 31 Μαρτίου 08:00-15:00
Δευτέρα Κλειστό.",Αρχαιολογικός Χώρος, 
Λισός,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Λοκρίδας Δυτικής οχυρώσεις,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Λουτρά (Γαλεριανό συγκρότημα),,,,,,Αρχαιολογικός Χώρος, 
Λυγιά,,Υπαίθριος χώρος. Ανοικτός συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Λύκαιο Όρος,,,,,,Αρχαιολογικός Χώρος, 
Μαγαζιά Σκύρου,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μαγούλα Κεφαλόβρυσο,,,,,,Αρχαιολογικός Χώρος, 
Μάλθη,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μάλια,"
",κλειστός από 23-12-2009,,,,Αρχαιολογικός Χώρος, 
Μάνη,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μάνικα,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μαντίνεια,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μαξιμιανούπολις-Μοσυνούπολις,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
"Μαραθώνας, Μπρεξίζα: Ιερό των Αιγυπτίων Θεών",,,,,,Αρχαιολογικός Χώρος, 
Μαστιλίτσα,,"Υπαίθριος χώρος, Συνεχώς ανοικτός",,,,Αρχαιολογικός Χώρος, 
Μεγαλόπολη,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μεδεών,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μένδη,,Δεν είναι επισκέψιμος,,,,Αρχαιολογικός Χώρος, 
Μενελάειον Σπάρτης,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μεσαιωνική Πόλη της Ρόδου,,"Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.
",,,,Αρχαιολογικός Χώρος, 
Μεσοβυζαντινή Επισκοπή Κίτρους,"Δευτέρα-Παρασκευή: 8.00 - 15.00
Σάββατο-Κυριακή: κλειστά",,,,,Αρχαιολογικός Χώρος, 
Μεσολιθικός οικισμός Μαρουλάς,,,,,,Αρχαιολογικός Χώρος, 
Μετέωρα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μετοχιακό συγκρότημα Νέων Φλογητών,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μητρόπολη,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία,,,,Αρχαιολογικός Χώρος, 
Μιδέα,,,,,Από 1 Νοεμβρίου 2013 έως και 31 Μαρτίου 2014: 08:00-15:00,Αρχαιολογικός Χώρος, 
Μίεζα,,,,"9:00 – 16:00
Κατόπιν συνεννοήσεως","7:00 – 15:00
Κατόπιν συνεννοήσεως",Αρχαιολογικός Χώρος, 
Μινώα Αμοργού,,,,,,Αρχαιολογικός Χώρος, 
Μιτόπολη,,Ο χώρος είναι επισκέψιμος κατόπιν συνεννοήσεως με τη ΣΤ' Ε.Π.Κ.Α. στο τηλέφωνο 2610275070.,,,,Αρχαιολογικός Χώρος, 
Μονεμβασιά,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Μονή Οσίου Λουκά,"Δευτέρα κλειστά
Τρίτη-Κυριακή: 09.00-17.00",,,,,Αρχαιολογικός Χώρος, 
