   ,ΤΙΤΛΟΣ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΚΩΔΙΚΟΣ ΔΗΜΟΥ,ΔΗΜΟΣ,ΤΗΛΕΦΩΝΟ,EMAIL,ΤΑΞΗ,ΗΜ.ΕΚΔΟΣΗΣ ΑΔΕΙΑΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΚΑΤΑΛΛΥΜΑΤΩΝ,ΕΓΚΕΚΡΙΜΕΝΟΣ ΑΡΙΘΜΟΣ ΑΤΟΜΩΝ
140,SUNNY BAY,ΜΙΧΑΛΟΥΔΗ ΚΥΡΙΑΚΗ & ΣΙΑ Ο.Ε.,ΜΕΤΑΜΟΡΦΩΣΗ,63078,Κεντρικής Μακεδονίας,Χαλκιδικής,9059,ΠΟΛΥΓΥΡΟΥ,2375061352,,0Γ,8/19/1991,1991,75,,300
141,ΣΙΘΩΝ,ΤΟΡΤΟΠΙΔΟΥ ΑΓΝΗ,ΜΕΤΑΜΟΡΦΩΣΗ,63078,Κεντρικής Μακεδονίας,Χαλκιδικής,9059,ΠΟΛΥΓΥΡΟΥ,2375022414,,0Β,6/14/1983,1983,126,16,442
142,ΚΟΥΓΙΩΝΗΣ,ΤΟΥΡ.ΕΠΙΧ.ΚΑΜΠΙΝΓΚ ΜΠΑΚΑΛΟΟΥΣ Χ.ΚΟΥΓΙΩΝΗΣ Κ ΣΙΑ ΑΕ Α.Ε.,ΠΑΡΑΛΙΑ ΓΕΡΑΚΙΝΗΣ,63100,Κεντρικής Μακεδονίας,Χαλκιδικής,9059,ΠΟΛΥΓΥΡΟΥ,2371052226,,0Γ,4/11/1995,1980,60,15,300
143,ΜΥΛΟΣ,ΔΕΛΗΔΗΜΗΤΡΙΟΥ ΑΝΤΩΝΙΟΣ,ΞΥΛΕΝΙΟΣ ΠΥΡΓΟΣ ΝΙΚΗΤΗΣ,63088,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375022041,,0Β,4/4/1996,1982,126,0,378
144,ΠΑΝΟΣ,ΚΟΥΦΑΤΖΗΣ ΠΑΝΑΓΙΩΤΗΣ,Ν.ΜΑΡΜΑΡΑΣ ΧΑΛΚ/ΚΗΣ,63081,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375072381,,0Γ,27/8/0098,1998,25,6,124
145,ΠΟΡΦΥ-PORFI,ΠΟΡΦΥΡΙΔΗΣ ΚΛΗΜΗΣ Α.Β.Ε.Τ.-ΝΕ,ΒΟΥΡΒΟΥΡΟΥ ΑΓ.ΝΙΚΟΛΑΟΥ,63078,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,0375-91504,,0Γ,2/22/1996,1996,102,16,472
146,EUROPA BEACH,ΚΥΡΛΑΓΚΙΤΣΗΣ Π.-ΚΥΡΛΑΓΚΙΤΣΗ Ε.  0.Ε.,Ν.ΜΑΡΜΑΡΑΣ,63081,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,0375-71078,,0Β,4/12/1995,1995,158,0,474
147,ΛΑΚΑΡΑ,ΔΕΛΗΔΗΜΗΤΡΙΟΥ ΑΝΤΩΝΙΟΣ,ΑΚΤΗ ΚΟΥΤΛΟΥΜΟΥΣΙΟΥ ΑΓ.ΝΙΚΟΛΑΟΥ,63078,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2374091444,,0Α,1/10/1978,1978,190,30,690
148,ΜΕΛΙΣΣΗΣ,ΑΦΟΙ ΜΕΛΙΣΣΗ & ΣΙΑ Ο.Ε.,ΒΙΓΛΑ ΣΥΚΙΑΣ,630 72,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041631,,0Γ,2/27/1996,1996,70,0,280
149,ΝΙΚΗΤΗ,ΠΑΠΑΙΩΑΝΝΟΥ ΑΘΑΝΑΣΙΟΣ,ΝΙΚΗΤΑΣ,63088,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,0375-22165,,0Γ,4/11/1995,1995,40,0,120
150,ΠΟΡΤΟ ΖΩΓΡΑΦΟΥ,MVP HOLIDAYS-ΤΟΥΡ.ΣΠΙΧ.Α.Ε.,ΑΚΤΗ ΖΩΓΡΑΦΟΥ ΑΓ.ΝΙΚΟΛΑΟΥ,63078,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375091277,,0Α,4/12/1995,1995,134,10,576
151,ΜΑΡΜΑΡΑΣ,ΣΠΕΝΤΣΟΠΟΥΛΟΥ ΜΑΡΙΑ,Ν.ΜΑΡΜΑΡΑΣ,63081,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375071901,,0Β,4/12/1995,1995,110,0,330
152,ΑΡΕΤΗ,ΑΡΕΤΗ CAMPING & BANGALOWS-ΧΑΡΑΛΑΜΠΙΔΟΥ ΑΡΕΤΗ & ΣΙΑ Ο.Ε.,,,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375071573,,0Β,,1976,147,8,620
153,ΜΙΤΑΡΙ,CAMPING ΜΙΤΑΡΙ ΕΛΗΑΣ Α.Ε.,ΝΙΚΗΤΗ,63088,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375071775,,0Γ,7/17/1991,1991,100,0,300
154,ΚΑΣΤΕΛΛΟ,ΓΛΑΥΤΣΗΣ Γ. ΤΟΥΡ. ΓΕΩ. ΕΠΙΧ. ΚΑΣΤΕΛΟ Α.Ε.,Ν.ΜΑΡΜΑΡΑΣ,63081,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375072003,,0Β,3/28/1988,1988,108,0,324
155,ΑΚΤΗ ΟΝΕΙΡΟΥ,ΙΩΑΝΝΗΣ ΚΥΡΛΑΓΚΙΤΣΗΣ & ΣΙΑ Ο.Ε.,ΒΑΡΔΑΝΑΡΙΑ ΑΓ.ΝΙΚΟΛΑΟΥ,63078,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,6972097587,,0Α,7/5/2007,2007,16,9,100
156,ΣΤΑΥΡΟΣ,ΝΑΝΟΥ ΑΦΟΙ ΟΕ,Ν.ΜΑΡΜΑΡΑΣ,63081,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375071375,,0Γ,4/12/1995,1977,82,0,246
157,ΡΕΑ,ΠΑΤΡΩΝΗΣ ΠΑΥΛΟΣ,ΧΑΛΚΙΔΙΚΗ,63078,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375091100,,0Γ,10/18/1995,1995,45,0,180
158,ΑΝΑΜΟΥΡ,ΦΛΕΒΑΡΗΣ ΘΕΟΔΟΣΗΣ,ΣΥΚΙΑ,630 72,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375051112,,0Γ,8/27/1998,1998,75,,300
159,ΙΣΑ,ΙΣΑ ΤΟΥΡ.ΞΕΝ.ΕΜΠ.ΕΠΙΧ.ΑΕ,ΣΥΚΑΙΑ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,0375-51235,,0Α,4/11/1995,1995,167,0,668
160,ΠΑΡΑΔΕΙΣΟΣ,ΧΑΤΖΗΜΙΧΑΗΛ ΝΙΚΟΛΑΟΣ,ΚΡΙΑΡΙΤΣΙ ΧΑΛΚ/ΚΗΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,6946183282,,0Γ,9/18/1998,1998,50,0,200
161,ΚΑΤΕΡΙΝΑ,ΚΩΤΣΙΟΣ ΙΩΑΝΝΗΣ,ΓΡΙΑΒΑΣ ΠΑΡΑΛΙΑΣ ΣΥΚΙΑΣ  ΧΑΛΚ/ΚΗΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041359,,0Γ,8/27/1998,1998,71,0,264
162,ΠΟΡΤΟ,ΠΑΡΓΑΣ ΒΑΣΙΛΕΙΟΣ,ΚΑΛΑΜΙΤΣΙ ΣΥΚΙΑΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041346,,0Γ,4/11/1995,1995,50,9,236
163,ΒΑΛΤΙ,ΑΛΕΞΑΚΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΚΙΑ Ν. ΧΑΛΚΙΔΙΚΗΣ,630 72,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,23750 41449,,0Γ,,1998,30,,120
164,ΗΛΙΑΣ,ΤΣΙΜΠΙΔΗΣ ΗΛΙΑΣ,ΚΑΛΑΜΙΤΣΙ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041556,,0Γ,,1998,30,0,120
165,CAMPING ΖΑΒΒΑΣ,ΖΑΒΒΑΣ ΑΘΑΝΑΣΙΟΣ,ΤΟΡΩΝΗ ΣΥΚΑΙΑΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,,,0Γ,,1998,40,0,120
166,ΧΡΙΣΤΙΝΑ,ΒΑΜΜΕΝΟΣ ΓΕΩΡΓΙΟΣ,ΚΡΥΑΡΙΤΣΙ ΣΥΚΙΑΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041233,,0Γ,,1996,50,0,200
167,ΤΣΙΤΡΕΛΗ,ΠΑΡΓΑ-ΤΣΙΤΡΕΛΗ ΜΑΡΙΑ,ΚΑΛΑΜΙΤΣΙ ΣΥΚΙΑΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375042086,,0Γ,7/18/2000,2000,35,4,156
168,ΦΙΛΛΙΠΟΣ,ΜΑΝΘΟΣ ΦΙΛΛΙΠΟΣ,ΤΟΡΩΝΗ ΣΥΚΙΑΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,0375 51250,,0Γ,,1996,40,0,160
169,ΛΙΝΑΡΑΚΙ,ΚΛΗΜΑΤΣΙΔΑ ΜΑΡΙΑ,ΣΥΚΙΑ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041655,,0Γ,7/16/1998,1998,30,2,128
170,ΚΑΛΑΜΙΤΣΙ,ΘΑΛΑΤΤΑ ΚΑΜΠ Α.Ε.,ΚΑΛΑΜΙΤΣΙ ΣΥΚΕΑΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041410,,0Α,4/12/1995,1976,252,4,1024
171,ΑΣΤΕΡΗΣ,ΒΑΛΟΓΙΑΝΝΗ ΠΑΝΑΓΙΩΤΑ,ΠΑΡΑΛΙΑ ΣΥΚΙΑΣ,630 72,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041415,,0Γ,,1998,67,,268
172,ΑΡΜΕΝΙΣΤΗΣ,ΑΝΑΤΟΛΗ ΑΕ & ΣΙΑ ΟΕ,ΣΑΡΤΗ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375091487,,0Α,4/11/1995,1992,130,0,390
173,ΠΙΤΣΩΝΗΣ,ΠΙΤΣΩΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΠΑΡΑΛΙΑ ΣΥΚΑΙΑΣ ΧΑΛΚ/ΚΗΣ,63072,Κεντρικής Μακεδονίας,Χαλκιδικής,9060,ΣΙΘΩΝΙΑΣ,2375041686,,0Γ,,1998,27,0,108
174,MATALA-ΜΑΤΑΛΑ,ΚΟΙΝΟΤΙΚΟ ΚΑΜΠΙΝΓΚ ΠΙΤΣΙΔΙΩΝ,ΜΑΤΑΛΑ,70200,Κρήτης,Ηρακλείου,9308,ΦΑΙΣΤΟΥ,2892045700,,0Δ,,,100,0,300
175,ΚΡΕΤΑ,ΔΡΕΤΑΚΗΣ ΔΗΜΗΤΡΙΟΣ ΤΟΥ ΑΝΤΩΝ.,ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,70014,Κρήτης,Ηρακλείου,9309,ΧΕΡΣΟΝΗΣΟΥ,2897041400,,0Α,,,90,0,270
176,CARAVAN - ΚΑΡΑΒΑΝ,ΣΚΑΜΑΓΚΑΣ ΓΙΩΡΓΟΣ,ΛΙΜ. ΧΕΡΣΟΝΗΣΟΥ,70014,Κρήτης,Ηρακλείου,9309,ΧΕΡΣΟΝΗΣΟΥ,6977384072,,0Γ,1/1/1976,1976,0,0,0
177,SISI-ΣΙΣΙ,CAMPING SISI  A.E,ΣΙΣΙ ΒΡΑΧΑΣΙΟΥ ΛΑΣΙΘΙ,72400,Κρήτης,Λασιθίου,9310,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,2841071247,,0Γ,,,40,0,120
178,KOUTSOUNARI-ΚΟΥΤΣΟΥΝΑΡΙ,ΧΡΙΣΤΑΚΗ ΜΑΡΙΑ,ΚΟΥΤΣΟΥΝΑΡΙ ΛΑΣΙΘΙΟΥ,72200 ,Κρήτης,Λασιθίου,9311,ΙΕΡΑΠΕΤΡΑΣ,2842061213,,0Γ,10/31/1984,1984,66,0,198
179,GOURNIA MOON,ΣΠΑΝΟΣ ΧΡΗΣΤΟΣ,ΓΟΥΡΝΙΑ,72200,Κρήτης,Λασιθίου,9311,ΙΕΡΑΠΕΤΡΑΣ,2842093243,,0Γ,,,55,0,165
180,APOLLONIA-ΑΠΟΛΛΩΝΙΑ,ΜΠΡΟΚΑΛΙΟΣ Μ. ΑΕ,ΠΛΑΚΙΑΣ ΡΕΘΥΜΝΗΣ,74060,Κρήτης,Ρεθύμνης,9314,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,2832031507,,0Γ,,,65,0,195
181,AGIA GALINI-ΑΓΙΑ ΓΑΛΗΝΗ,ΦΟΥΝΤΙΔΑΚΗΣ ΚΩΝ/ΝΟΣ ΑΕ,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΗΣ,74056,Κρήτης,Ρεθύμνης,9314,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,2832091386,,0Γ,,,36,0,108
182,WILD NATURE-ΑΓΡΙΑ ΦΥΣΗ,ΤΣΑΚΑΛΑΚΗΣ  ΓΕΩΡΓΙΟΣ,ΑΓ.ΝΙΚΟΛΑΟΣ  ΜΕΡΩΝΑ,74061,Κρήτης,Ρεθύμνης,9315,ΑΜΑΡΙΟΥ,2810323080,,0Β,5/28/2009,2009,18,0,72
183,ELIZABETH-ΕΛΙΖΑΜΠΕΘ,ΚΟΛΟΚΟΥΡΗΣ ΧΡΙΣΤΟΦΟΡΟΣ-ΠΑΝΤΑΛΕΩΝ,ΜΥΣΣΙΡΙΑ ΡΕΘΥΜΝΗΣ,74100,Κρήτης,Ρεθύμνης,9318,ΡΕΘΥΜΝΗΣ,2831028694,,0Γ,,,65,0,195
184,PALEOHORA-ΠΑΛΑΙΟΧΩΡΑ,ΛΑΖΟΠΟΥΛΑΚΗ  ΑΝΤΩΝΙΑ,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,73001,Κρήτης,Χανίων,9321,ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ,2823041120,,0Γ,,,40,0,120
185,CAMPING GRAMMENO-ΓΡΑΜΜΕΝΟ,Γ.ΠΟΝΤΙΚΑΚΗ & ΣΙΑ Ε.Ε.,ΚΟΥΝΤΟΥΡΑΣ ΠΑΛΑΙΟΧΩΡΑΣ,73001 ,Κρήτης,Χανίων,9321,ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ,2823042125,,0Γ,11/24/2004,2004,30,0,100
186,NOPIGIA-ΝΩΠΗΓΕΙΑ,Α.ΜΑΚΡΑΚΗΣ & ΣΙΑ Ο.Ε.,ΝΩΠΗΓΕΙΑ ΧΑΝΙΩΝ,73400,Κρήτης,Χανίων,9322,ΚΙΣΣΑΜΟΥ,2822031329,,0Γ,1/1/1991,1991,36,0,144
187,MITHIMNA-ΜΙΘΥΜΝΑ,ΠΑΤΕΡΑΚΗΣ Μ.-ΒΟΥΛΓΑΡΑΚΗΣΜ. ΟΕ,ΔΡΑΠΑΝΙΑ ΚΙΣΣΑΜΟΥ,73400 ,Κρήτης,Χανίων,9322,ΚΙΣΣΑΜΟΥ,2822031444/5,,0Γ,6/10/1985,1985,54,0,162
188,KISSAMOS-ΚΙΣΣΑΜΟΣ,ΞΗΡΟΥΧΑΚΗ ΗΛ. ΑΦΟΙ ΑΕ,ΚΑΣΤΕΛΛΙ ΚΙΣΣΑΜΟΥ ΧΑΝΙΑ,73400 ,Κρήτης,Χανίων,9322,ΚΙΣΣΑΜΟΥ,2822023444,,0Γ,10/16/1992,1992,66,0,198
189,HANIA-ΧΑΝΙΑ,ΣΟΦΙΑ ΤΣΙΣΜΕΝΑΚΗ & ΣΙΑ ΟΕ,ΑΓΙΟΙ ΑΠΟΣΤΟΛΟΙ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,73100 ,Κρήτης,Χανίων,9325,ΧΑΝΙΩΝ,2821031138,,0Γ,1/1/1985,1985,33,0,100
190,ΚΑΜΑΡΙ,ΒΑΜΒΑΚΟΥΣΗΣ ΕΥΑΓΓΕΛΟΣ,ΕΠΙΣΚΟΠΗ ΓΩΝΙΑΣ,84700,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9270,ΘΗΡΑΣ,,,0Δ,,,190,,570
191,ΣΑΝΤΟΡΙΝΗ,ΣΑΝΤΟΡΙΝΗ ΚΑΜΠΙΝΓΚ Ο.Ε.,ΦΗΡΑ ΘΗΡΑΣ,84700,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9270,ΘΗΡΑΣ,2286022944,,0Γ,,,90,,270
192,CALDERA VIEW,ΣΙΓΑΛΑΣ ΜΗΝΑΣ,ΜΕΓΑΛΟΧΩΡΙ,84700,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9270,ΘΗΡΑΣ,,,0Β,,,92,15,368
193,ΚΑΛΝΤΕΡΑ ΒΙΟΥ,ΣΙΓΑΛΑΣ ΜΗΝΑΣ,,84700,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9270,ΘΗΡΑΣ,,,0Β,,,92,15,368
194,ΙΟΣ ΚΑΜΠΙΝΓΚ,ΖΑΜΠΑΝΤΗΣ ΑΡΓΥΡΙΟΣ,ΛΙΜΑΝΙ,84001,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9271,ΙΗΤΩΝ,,,0Γ,,,96,,288
195,IOS CAMPING,ΖΑΜΠΑΝΤΗΣ ΑΡΓΥΡΙΟΣ,ΛΙΒΑΔΙ,84001,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9271,ΙΗΤΩΝ,,,0Γ,,,96,,288
196,ΣΤΑΡΣ,ΜΕΤΤΟΣ ΒΑΣΙΛΕΙΟΣ,ΜΥΛΟΠΟΤΑΣ,84002,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9271,ΙΗΤΩΝ,,,0Γ,,,88,13,404
197,ΛΙΒΑΔΙ,ΤΖΙΒΡΑΙΛΗ ΝΑΤΑΛΙΑ,ΛΕΙΒΑΔΙ,84011,Νοτίου Αιγαίου (Κυκλάδες),Θήρας,9273,ΦΟΛΕΓΑΝΔΡΟΥ,2286041204,,0Γ,,,50,,150
198,ΚΕΑ,ΠΟΛΙΤΗΣ ΝΙΚΟΛΑΟΣ,ΠΟΙΣΣΕΣ,84002,Νοτίου Αιγαίου (Κυκλάδες),Κέας - Κύθνου,9282,ΚΕΑΣ,2288031302,,0Γ,,,61,,183
199,ΠΕΡΙΣΣΑ ΜΠΗΤΣ ΚΑΜΠΙΝΓΚ,ΓΑΛΑΝΑΚΗΣ ΚΑΙ ΣΙΑ Ο.Ε.,ΠΕΡΙΣΣΑ,84700,Νοτίου Αιγαίου (Κυκλάδες),Μήλου,9270,ΘΗΡΑΣ,2286081343,,0Γ,,,83,,249
200,ΜΗΛΟΣ ΑΧΙΒΑΔΟΛΙΜΝΗ,ΔΩΡΙΚΗ Α.Ε.,ΑΧΙΒΑΔΟΛΙΜΝΗ,84800,Νοτίου Αιγαίου (Κυκλάδες),Μήλου,9287,ΜΗΛΟΥ,2287031410,,0Γ,,,63,12,300
201,ΚΟΡΑΛΛΙ,ΚΡΙΝΑΣ Α.Ε,ΛΕΙΒΑΔΑΚΙΑ,84005,Νοτίου Αιγαίου (Κυκλάδες),Μήλου,9288,ΣΕΡΙΦΟΥ,2281051073,,0Γ,,,78,8,269
202,ΠΛΑΤΥΣ ΓΥΑΛΟΣ,ΔΗΜΟΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΤΟΥΡΙΣΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ,ΠΛΑΤΥΣ ΓΥΑΛΟΣ,84003,Νοτίου Αιγαίου (Κυκλάδες),Μήλου,9289,ΣΙΦΝΟΥ,,,0Δ,,,100,,300
203,ΜΑΚΗΣ,ΚΟΡΑΚΗΣ ΙΑΚΩΒΟΣ,,84003,Νοτίου Αιγαίου (Κυκλάδες),Μήλου,9289,ΣΙΦΝΟΥ,2284032366,,0Γ,,,60,,120
204,ΜΥΚΟΝΟΣ ΚΑΜΠΙΝΓΚ,ΚΑΤΑΣΚΗΝΩΣΕΙΣ ΜΥΚΟΝΟΥ Α.Ε.,ΠΑΡΑΛΙΑ ΠΑΡΑΓΚΑ,84600,Νοτίου Αιγαίου (Κυκλάδες),Μυκόνου,9290,ΜΥΚΟΝΟΥ,2289025915,,0Β,,,65,,200
205,ΠΑΡΑΔΕΙΣΟΣ,PARADISE A.E.,ΚΑΛΑΜΟΠΟΔΙ,84600,Νοτίου Αιγαίου (Κυκλάδες),Μυκόνου,9290,ΜΥΚΟΝΟΥ,2289022852,,0Γ,,,68,,204
206,ΚΑΣΤΑΝΗΣ,ΓΙΑΝΝΑΚΟΣ ΗΛΙΑΣ,ΣΚΕΡΠΑΝΙΕΣ,84008,Νοτίου Αιγαίου (Κυκλάδες),Νάξου,9291,ΑΜΟΡΓΟΥ,2285071277,,0Γ,,,30,9,232
207,ΑΙΓΙΑΛΗ,ΣΥΝΟΔΙΝΟΣ ΙΩΑΝΝΗΣ,ΑΙΓΙΑΛΗ,84008,Νοτίου Αιγαίου (Κυκλάδες),Νάξου,9291,ΑΜΟΡΓΟΥ,2285073500,,0Γ,,,20,,80
208,ΑΜΟΡΓΟΣ,ΔΗΜΟΤΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΑΝΑΠΤΥΞΗΣ ΔΗΜΟΥ ΑΜΟΡΓΟΥ,ΚΑΤΑΠΟΛΑ,84008,Νοτίου Αιγαίου (Κυκλάδες),Νάξου,9291,ΑΜΟΡΓΟΥ,2285071257,,0Δ,,,250,,500
209,ΚΑΜΠΙΝΓΚ ΑΠΟΛΛΩΝ,ΚΟΝΔΥΛΗΣ ΑΕ,ΣΤΥΛΙΔΑ ΑΓΙΟΣ ΑΡΣΕΝΙΟΣ,84300,Νοτίου Αιγαίου (Κυκλάδες),Νάξου,9292,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,,,0Β,,,183,,549
210,ΚΑΜΠΙΝΓΚ ΜΑΡΑΓΚΑΣ,ΚΑΛΟΓΕΙΤΟΝΑ-ΚΑΡΕΓΛΑ Ξ.Τ.Α.Ε.,ΑΓΙΑ ΑΝΝΑ,84400,Νοτίου Αιγαίου (Κυκλάδες),Νάξου,9292,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,2285024552,,0Γ,,,125,20,580
211,ΝΑΞΟΣ ΚΑΜΠΙΝΓΚ,ΖΩΡΟΣ ΙΩΑΝΝΗΣ & ΑΠΟΣΤΟΛΟΣ,ΑΓΙΟΣ ΑΡΣΕΝΙΟΣ,84300,Νοτίου Αιγαίου (Κυκλάδες),Νάξου,9292,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,2285023500,,0Γ,,,98,,294
212,ΚΑΜΠΙΝΓΚ ΑΝΔΡΟΣ,ΣΤ.ΜΠΟΥΣΗΣ Κ' ΣΙΑ Ο.Ε.,ΓΑΥΡΙΟ,84500,Νοτίου Αιγαίου (Κυκλάδες),’νδρου,9268,ΑΝΔΡΟΥ,2282071444,,0Γ,,,63,,189
213,ΑΝΤΙΠΑΡΟΣ ΚΑΜΠΙΝΓΚ,ΚΑΛΑΡΓΥΡΟΣ ΙΩΑΝΝΗΣ,ΑΝΤΙΠΑΡΟΣ,84007,Νοτίου Αιγαίου (Κυκλάδες),Πάρου,9293,ΑΝΤΙΠΑΡΟΥ,2284061221,,0Γ,,,100,,300
214,ΠΑΡΑΣΠΟΡΟΣ,ΣΠΑΘΙΑΣ ΙΩΑΝΝΗΣ,ΠΑΡΟΙΚΙΑ,84400,Νοτίου Αιγαίου (Κυκλάδες),Πάρου,9294,ΠΑΡΟΥ,2284021874,,0Γ,,,68,,204
215,SURFING BEACH PAROS,ΣΑΓΚΡΙΩΤΗΣ ΖΑΝΝΗΣ Α.Ε.,ΝΑΟΥΣΑ,84400,Νοτίου Αιγαίου (Κυκλάδες),Πάρου,9294,ΠΑΡΟΥ,2284052491,,0Β,,,125,24,500
216,ΚΑΜΠΙΝΓΚ ΚΡΙΟΣ,ΚΑΛΥΨΩ ΓΑΒΡΙΗΛΙΔΗ - ΟΜ.ΚΑΤ.Α.Ε.,ΠΑΡΟΙΚΙΑ,84400,Νοτίου Αιγαίου (Κυκλάδες),Πάρου,9294,ΠΑΡΟΥ,2284021705,,0Γ,,,77,,231
217,ΚΟΥΛΑ,ΔΑΦΕΡΕΡΑΣ ΑΝΤΩΝΙΟΣ Α.Ξ.Τ.Ε.Ε.,ΠΑΡΟΙΚΙΑ,84400,Νοτίου Αιγαίου (Κυκλάδες),Πάρου,9294,ΠΑΡΟΥ,2284022081,,0Γ,,,60,,175
218,ΑΛΥΚΗ,ΣΚΙΑΔΑΣ ΕΜΜΑΝΟΥΗΛ ΑΞΤΕ,ΑΓΚΑΙΡΙΑ,84400,Νοτίου Αιγαίου (Κυκλάδες),Πάρου,9294,ΠΑΡΟΥ,2284091150,,0Γ,,,111,,333
219,ΑΓΙΑ ΕΙΡΗΝΗ,ΜΑΛΑΤΕΣΤΑΣ ΕΜΜΑΝΟΥΗΛ,ΠΑΡΟΙΚΙΑ,84400,Νοτίου Αιγαίου (Κυκλάδες),Πάρου,9294,ΠΑΡΟΥ,2284091056,,0Γ,,,59,,177
