   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
2725,ΑΝΩΚΑΤΩΓΟ,0622Κ050Β0000801,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΠΕΤΡΟΒΟΥΝΙΤΖΟΥΜΕΡΚΩΝ,45500,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΤΖΟΥΜΕΡΚΩΝ,,2651043420,ΠΡΕΝΤΖΑΣ ΝΙΚΗΦΟΡΟΣ,ΠΡΕΝΤΖΑΣ ΝΙΚΗΦΟΡΟΣ,2007,7,3
2726,ΑΡΧΟΝΤΙΚΟ,0622Κ050Β0009101,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΑΝΕΞΑΡΤΗΣΙΑΣ 101 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,45444,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651024462,ΕΥΑΓΓΕΛΟΣ ΓΚΟΓΚΑΣ & ΣΙΑ ΟΕ,ΓΚΟΓΚΑΣ ΕΥΑΓΓΕΛΟΣ & ΑΝΑΣΤΑΣΙΟΥ ΦΩΤΙΟΣ,2008,10,4
2727,ΑΡΧΟΝΤΙΚΟ ΤΖΟΥΦΗ,0622Κ050Β0000501,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΚΑΠΕΣΟΒΟΤΥΜΦΗΣ,44007,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653071736,ΤΖΟΥΦΗΣ ΓΕΩΡΓΙΟΣ,ΤΖΟΥΦΗΣ ΓΕΩΡΓΙΟΣ,2008,19,6
2728,ΑΡΧΟΝΤΙΚΟ ΤΩΝ ΚΗΠΩΝ,0622Κ050Β0156001,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΚΗΠΟΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44010,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653071030,ΜΠΟΝΑΤΣΟΥ ΕΛΕΝΗ & ΣΙΑ Ο.Ε.,ΑΝΔΡΕΑΣ ΚΑΙ ΙΩΑΝΝΑ ΓΚΡΟΥΪΔΗ,2010,11,5
2729,ΑΡΧΟΝΤΙΣΣΑ,0622Κ050Β0006301,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΜΟΝΟΔΕΝΔΡΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071340,ΛΑΔΙΑ ΜΑΡΙΑ,ΝΟΥΛΗ ΕΥΓΕΝΙΑ,2004,12,5
2730,ΑΣΤΡΑΚΑ -,0622Κ050Β0002001,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝΠΑΠΙΓΚΟΥ,44004,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,2653041693,ΚΩΤΣΟΡΙΔΗΣ ΣΤΕΡΓΙΟΣ,ΚΩΤΣΟΡΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ & ΜΗΛΙΩΝΗ ΔΕΣΠΟΙΝΑ,1991,12,5
2731,ΒΙΚΟΣ,0622Κ050Β0007701,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΜΟΝΟΔΕΝΤΡΙ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071370,ΦΕΡΕΝΤΙΝΟΣ ΔΗΜΗΤΡΙΟΣ,ΠΑΤΕΡΑΚΗΣ ΘΕΟΦΡΑΣΤΟΣ & ΕΜΜΑΝΟΥΗΛ,1987,16,7
2732,ΒΙΡΓΙΝΙΑ,0622Κ050Β0003401,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΑΣΠΡΑΓΓΕΛΟΙ ΖΑΓΟΡΙΟΥΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653061330,ΠΑΠΑΠΟΣΤΟΛΟΥ ΒΙΡΓΙΝΙΑ,ΠΑΠΑΠΟΣΤΟΛΟΥ ΒΙΡΓΙΝΙΑ,2000,8,4
2733,ΓΕΩΡΓΙΑ -,0622Κ050Β0149001,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΒΙΤΣΑ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,440 07,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,6945429109,Γ.ΒΑΣΔΕΚΗ & ΣΙΑ Ο.Ε.,Γ.ΒΑΣΔΕΚΗ & ΣΙΑ Ο.Ε.,2009,9,4
2734,ΓΙΟΝΟΣ ΧΑΟΥΖ -,0622Κ050Β0181501,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΑΝΩ ΡΑΒΕΝΙΑΚΑΛΠΑΚΙΟΥ,44004,ΠΩΓΩΝΙΟΥ,ΚΑΛΠΑΚΙΟΥ,,6942494505,ΔΗΜΗΤΡΙΟΣ Κ.ΚΟΣΜΑΣ Μ.Ε.Π.Ε.,ΔΗΜΗΤΡΙΟΣ Κ.ΚΟΣΜΑΣ Μ.Ε.Π.Ε.,2012,14,5
2735,ΔΑΦΝΗ,0622Κ050Β0005401,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΙΟΥΣΤΙΝΙΑΝΟΥ 12 ΚΑΣΤΡΟΙΩΑΝΝΙΤΩΝ,45221,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651083560,ΠΕΡΙΚΛΗΣ ΠΑΠΑΔΙΑΣ,ΦΙΛΑΝ/ΚΟΣ ΣΥΛΛΟΓΟΣ ΜΠΕΘ ΙΕΣΟΥΑ ΒΕ ΡΑΧΗΛ,2007,10,4
2736,ΕΛΕΥΘΕΡΙΑ,0622Κ050Β0003201,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΑΣΠΡΑΓΓΕΛΟΙ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653022654,Ε.ΠΑΠΑΝΑΣΤΑΣΙΟΥ & ΣΙΑ Ο.Ε.,ΠΑΠΑΝΑΣΤΑΣΟΥ ΕΛΕΥΘΕΡΙΑ,2008,14,5
2737,Η ΓΚΟΥΡΑ,0622Κ050Β0012401,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΣΥΡΡΑΚΟ ΙΩΑΝΝΙΝΩΝΣΥΡΡΑΚΟΥ,44001,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΣΥΡΡΑΚΟΥ,,2651053622,ΝΤΡΙΑ ΒΑΣΙΛΙΚΗ,ΝΤΡΙΑ ΒΑΣΙΛΙΚΗ,2005,8,4
2738,ΚΑΜΑΡΕΣ,0622Κ050Β0004901,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΖΑΛΟΚΩΣΤΑ 74ΙΩΑΝΝΙΤΩΝ,45221,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651079348-78020,ΚΑΣΣΑΡΟΥ ΕΛΕΝΗ & ΣΙΑ Ο.Ε.,ΚΑΣΣΑΡΟΥ ΕΛΕΝΗ & ΚΑΧΡΙΜΑΝΗΣ ΑΛΕΞΑΝΔΡΟΣ,1993,19,9
2739,ΚΑΣΤΡΟ,0622Κ050Β0004301,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,Α.ΠΑΛΑΙΟΛΟΓΟΥ 57ΙΩΑΝΝΙΤΩΝ,,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651022866,ΧΑΡΙΤΩΝ ΞΕΝΟΔΟΧΕΙΑΚΗ Ο.Ε,ΧΑΡΙΤΩΝ ΞΕΝΟΔΟΧΕΙΑΚΗ Ο.Ε,1999,15,7
2740,ΚΑΤΩ ΜΑΧΑΛΑΣ,0622Κ050Β0016301,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΔΙΚΟΡΦΟΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,6945330760,ΛΕΚΚΟΥ Α&Π Ο.Ε,ΛΕΚΚΟΥ Α&Π Ο.Ε,2008,9,4
2741,ΚΟΝΑΚΙ,0622Κ050Β0180501,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΝΕΟΧΩΡΙΟΝΖΙΤΣΑΣ,45500,ΖΙΤΣΑΣ,ΖΙΤΣΑΣ,,2651071567,ΒΑΣΙΛΗΣ ΚΑΤΣΙΚΟΓΙΑΝΝΗΣ  & ΣΙΑ ΕΕ,ΚΑΤΣΙΚΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ,2011,16,9
2742,ΛΕΤΖΕΤΟ,0622Κ050Β0012901,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΣΚΑΜΝΕΛΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44007,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081418,ΡΗΓΑΤΟΥ ΓΕΩΡΓΙΑ,ΡΗΓΑΤΟΥ ΓΕΩΡΓΙΑ,2003,13,5
2743,ΜΟΡΦΕΑΣ,0622Κ050Β0008501,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΠΑΠΙΓΚΟ-ΙΩΑΝΝΙΝΩΝΠΑΠΙΓΚΟΥ,44ΟΟ4,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,2653041868,ΘΩΜΑ ΣΟΦΙΑ,ΘΩΜΑ ΣΟΦΙΑ,2007,15,5
2744,ΜΟΥΣΑΦΙΡ - ΟΝΤΑΣ,0622Κ050Β0000701,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΚΑΠΕΣΟΒΟ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,440 10,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,6974443640,ΡΑΠΤΗΣ ΗΛΙΑΣ,ΡΑΠΤΗΣ ΗΛΙΑΣ,2008,18,7
2745,ΠΕΤΡΑΔΙ 1873,0622Κ050Β0018101,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΚΑΛΑΡΙΤΕΣ ΙΩΑΝΝΙΝΩΝΚΑΛΑΡΡΥΤΩΝ,44001,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΚΑΛΑΡΡΥΤΩΝ,,2659061561,ΑΓΓΕΛΟΣ ΚΑΤΣΙΡΗΣ - ΣΚΟΥΡΑ ΚΥΡΙΑΚΗ ΚΟΙΝΩΝΙΑ ΑΣΤΙΚΟΥ ΔΙΚΑ,ΑΓΓΕΛΟΣ ΚΑΤΣΙΡΗΣ -ΣΚΟΥΡΑ ΚΥΡΙΑΚΗ ΚΟΙΝΩΝΙΑ ΑΣΤΙΚΟΥ ΔΙΚΑΙ,2007,14,7
2746,ΠΛΑΤΑΝΟΣ ΣΤΟ ΚΑΣΤΡΟ -,0622Κ050Β0179601,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΑΝΔΡΟΝΙΚΟΥ ΠΑΛΑΙΟΛΟΓΟΥ 11ΙΩΑΝΝΙΤΩΝ,45221,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,6932601240,ΠΑΠΑΔΙΑΣ ΠΕΡΙΚΛΗΣ & ΣΙΑ Ε.Ε.,ΜΗΤΣΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ,2011,15,5
2747,ΡΟΖΑ ΚΑΝΙΝΑ,0622Κ050Β0175301,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΠΑΠΙΓΚΟ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΠΑΠΙΓΚΟΥ,44004,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,6934875799,ΓΚΕΚΗ ΑΛΕΞΑΝΔΡΑ ΚΑΙ ΣΙΑ Ο.Ε.,ΓΚΕΚΗ ΑΛΕΞΑΝΔΡΑ ΚΑΙ ΣΙΑ Ο.Ε.,2010,24,9
2748,ΡΟΝΤΟΒΑΝΙ,0622Κ050Β0014201,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΕΛΑΤΗ ΖΑΓΟΡΙΟΥΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071171,ΔΕΜΑΤΑΤΗ ΕΛΕΝΗ,ΔΕΜΑΤΑΤΗ ΕΛΕΝΗ,1999,11,5
2749,ΣΕΛΗΝΗ,0622Κ050Β0017101,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΒΙΤΣΑ ΙΩΑΝΝΙΝΩΝΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44007,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653071350,ΔΗΜ ΚΑΡΑΓΙΑΝΝΗΣ & ΣΙΑ Ε.Ε,ΔΗΜ ΚΑΡΑΓΙΑΝΝΗΣ & ΣΙΑ Ε.Ε,1993,16,7
2750,ΣΙΑΡΑΒΑ,0622Κ050Β0143801,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΓΑΡΙΒΑΛΔΗ 20 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,452 21,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651-0-30820,ΘΩΜΑΪΣ ΒΟΥΛΓΑΡΗ & ΣΙΑ Ε.Ε.,ΠΑΠΠΑΣ ΣΟΛΩΝ & ΠΑΠΠΑ ΑΦΡΟΔΙΤΗ,2009,15,6
2751,ΤΑ ΣΠΙΤΙΑ ΤΟΥ ΣΑΞΩΝΗ,0622Κ050Β0001701,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΠΑΠΙΓΚΟΠΑΠΙΓΚΟΥ,44004,ΖΑΓΟΡΙΟΥ,ΠΑΠΙΓΚΟΥ,,2653041615,Ν.ΣΑΞΩΝΗΣ ΕΛΛΗΝ.ΠΑΡΑΔ. ΟΙΚΙΣΜΟΙ Α.Ε.,Ν.ΣΑΞΩΝΗΣ ΕΛΛΗΝ.ΠΑΡΑΔ. ΟΙΚΙΣΜΟΙ Α.Ε.,1990,28,10
2752,ΤΕΡΨΙΧOΡΗ,0622Κ050Β0019501,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΚΑΠΕΣΟΒΟ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44010,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081418,ΤΖΟΥΦΗ ΤΕΡΨΙΧΟΡΗ,ΤΖΙΟΥΦΗ ΤΕΡΨΙΧΟΡΗ,2008,12,4
2753,ΤΟ ΑΡΧΟΝΤΙΚΟ ΤΗΣ ΑΡΙΣΤΗΣ,0622Κ050Β0004601,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΑΡΙΣΤΗ ΙΩΑΝΝΙΝΩΝ,44004,ΖΑΓΟΡΙΟΥ,,,2653042210,ΔΗΜΗΤΡΙΑΔΗ ΕΛΕΥΘΕΡΙΑ-ΔΗΜΗΤΡΙΑΔΗ ΣΤΑΥΡΟΥΛΑ Ο.Ε.,ΔΗΜΗΤΡΙΑΔΗ ΕΛΕΥΘΕΡΙΑ-ΔΗΜΗΤΡΙΑΔΗ ΣΤΑΥΡΟΥΛΑ Ο.Ε.,2000,51,22
2754,ΤΟ ΣΥΡΡΑΚΟ,0622Κ050Β0020701,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΣΥΡΡΑΚΟ ΙΩΑΝΝΙΝΩΝΣΥΡΡΑΚΟΥ,44001,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΣΥΡΡΑΚΟΥ,,2651053410,ΧΑΣΑΝΗΣ ΧΡΗΣΤΟΣ,ΚΟΙΝΟΤΗΤΑ ΣΥΡΡΑΚΟΥ ΙΩΑΝΝΙΝΩΝ,2005,27,10
2755,ΤΟ ΧΑΝΙ,0622Κ050Β0002501,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΑΡΙΣΤΗ ΖΑΓΟΡΙΟΥΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,44016,ΖΑΓΟΡΙΟΥ,ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,,2653042150,ΕΥΘΥΜΙΟΥ ΧΡΗΣΤΟΣ-ΛΙΝΑΡΔΟΥ ΟΥΡΑΝΙΑ Ο.Ε,ΕΥΘΥΜΙΟΥ ΧΡΗΣΤΟΣ,2004,10,5
2756,ΦΑΝΗΣ,0622Κ050Β0016801,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΤΣΕΠΕΛΟΒΟ ΙΩΑΝΝΙΝΩΝΤΥΜΦΗΣ,44010,ΖΑΓΟΡΙΟΥ,ΤΥΜΦΗΣ,,2653081271,ΤΣΑΒΑΛΙΑΣ ΘΕΟΦΑΝΗΣ,ΤΣΑΒΑΛΙΑΣ ΘΕΟΦΑΝΗΣ,1983,17,7
2757,ΧΑΓΙΑΤΙ,0622Κ050Β0173601,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΣΤΡΑΤΗΓΟΠΟΥΛΟΥ 11ΙΩΑΝΝΙΤΩΝ,,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651037570,ΡΟΥΠΑΚΙΑΣ ΧΡ. - ΠΑΠΑΓΙΑΝΝΗ ΣΠ. Ο.Ε.,ΡΟΥΠΑΚΙΑΣ ΧΡ. -ΠΑΠΑΓΙΑΝΝΗ ΣΠ.,2010,13,7
2758,ΧΑΜΚΩ,0622Κ050Β0019901,Ηπείρου,Ιωαννίνων,Παραδοσιακό κατάλυμα,0Β,ΚΟΝΙΤΣΑ ΙΩΑΝΝΙΝΩΝΚΟΝΙΤΣΑΣ,45500,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,,2655023107,Β&Κ.ΜΑΝΤΖΙΟΣ Ο.Ε,Β&Κ ΜΑΝΤΖΙΟΣ Ο.Ε,2007,13,3
2759,ΛΙΘΟΚΤΙΣΤΟ,0622Κ070Β0093401,Ηπείρου,Ιωαννίνων,Παραδοσιακό Ξενοδοχείο Επιπλ. Διαμερισμάτων,0Β,ΚΟΝΙΤΣΑ ΙΩΑΝΝΙΝΩΝΚΟΝΙΤΣΑΣ,441 00,ΚΟΝΙΤΣΑΣ,ΚΟΝΙΤΣΑΣ,,2655-0-22789,ΦΑΤΕΣ ΑΝΘΙΜΟΣ & ΣΙΑ Ε.Ε.,ΦΑΤΕΣ ΑΝΘΙΜΟΣ & ΣΤΡΑΤΟΥ ΔΗΜΗΤΡΑ,2008,16,5
2760,ΠΑΤΡΙΚΟ,0622Κ070Β0149201,Ηπείρου,Ιωαννίνων,Παραδοσιακό Ξενοδοχείο Επιπλ. Διαμερισμάτων,0Β,Κ.ΚΑΤΣΑΡΗ 6-8 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,45444,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651065500,ΚΟΡΔΑΣ ΠΑΝΑΓΙΩΤΗΣ,ΚΟΡΔΑΣ ΠΑΝΑΓΙΩΤΗΣ,2005,11,5
2761,ΟΛΓΑ,0622Κ030Γ0031301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,0Γ,ΤΣΟΠΕΛΑ ΠΡΑΜΑΝΤΩΝΠΡΑΜΑΝΤΩΝ,,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΠΡΑΜΑΝΤΩΝ,,2659061005,ΟΛΓΑ ΒΑΝΑ,ΟΛΓΑ ΒΑΝΑ,2002,11,5
2762,ΑΓΑΠΗ,0622Κ011Α0003301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,1Α,ΤΣΙΡΙΓΩΤΗ 6 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,45444,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651027139,ΜΠΟΥΚΑ ΜΑΡΙΝΑ,ΜΠΟΥΚΑ ΜΑΡΙΝΑ,1963,12,6
2763,ΑΚΡΟΠΟΛΙΣ,0622Κ011Α0010901,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,1Α,ΑΓ.ΤΡΙΑΔΟΣ 22 ΜΕΤΣΟΒΟΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656041672,ΓΕΩΡΓΙΟΣ ΚΙΟΥΡΑΣ,ΓΕΩΡΓΙΟΣ ΚΙΟΥΡΑΣ,1979,14,6
2764,ΕΛΠΙΣ,0622Κ011Α0115701,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,1Α,ΝΕΟΠΤΟΛΕΜΟΥ 10 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,454 44,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651-0-26209,KUVSHINOVA OXANA,ΓΑΤΣΙΑΝΗ ΔΗΜΗΤΡΑ & ΕΛΕΝΗ,,22,12
2765,ΕΡΜΗΣ -,0622Κ011Α0155501,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,1Α,ΣΙΝΑ 2 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,454 44,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651-0-75992,ΛΕΟΝΤΑΡΙΔΗ ΙΦΙΓΕΝΕΙΑ,ΓΙΑΝΝΗΣ ΤΙΜΟΛΕΩΝ,1985,54,33
2766,ΠΑΡΑΔΕΙΣΟΣ,0622Κ011Α0003801,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,1Α,ΚΑ ΦΕΒΡΟΥΑΡΙΟΥ 15 ΙΩΑΝΝΙΝΑΙΩΑΝΝΙΤΩΝ,45221,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651074124,ΚΙΤΣΗΣ ΕΥΑΓΓΕΛΟΣ,ΓΚΙΝΤΡΙΜΗ ΑΝΝΑ 7 ΒΑΣΙΛΕΙΟΣ,1954,39,22
2767,ΠΑΡΙΣ,0622Κ011Α0005101,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,1Α,ΤΣΙΡΙΓΩΤΗ 6ΙΩΑΝΝΙΤΩΝ,45444,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651020541,ΚΛΕΙΤΣΑΣ ΔΗΜΗΤΡΙΟΣ,ΚΛΕΙΤΣΑΣ ΔΗΜΗΤΡΙΟΣ &ΝΙΚΟΛΑΟΣ,2008,30,16
2768,ΠΕΡΣΑ,0622Κ031Α0018001,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,1Α,ΠΕΡΑΜΑ ΙΩΑΝΝΙΝΩΝΠΕΡΑΜΑΤΟΣ,45500,ΙΩΑΝΝΙΤΩΝ,ΠΕΡΑΜΑΤΟΣ,,2651081151,ΝΙΚΟΛΑΟΣ ΜΑΜΑΚΗΣ,"ΓΕΩΡΓΙΟΣ,ΝΙΚΟΛΑΟΣ &ΑΔΑΜΑΝΤΙΟΣ ΜΑΜΑΚΗΣ",2002,18,9
2769,DOVITEL,0622Κ012Α0016401,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΕΡΑΜΑ ΙΩΑΝΝΙΝΩΝΠΕΡΑΜΑΤΟΣ,45500,ΙΩΑΝΝΙΤΩΝ,ΠΕΡΑΜΑΤΟΣ,,2651081001,GREEN ESCAPE HOTEL A.E,ΝΤΟΒΑΣ ΓΕΩΡΓΙΟΣ,1979,73,39
2770,ΑΔΩΝΙΣ,0622Κ012Α0010301,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝΜΕΤΣΟΒΟΥ,44200,ΜΕΤΣΟΒΟΥ,ΜΕΤΣΟΒΟΥ,,2656042300,ΑΠΟΛΛΩΝ Α.Ε,ΑΠΟΛΛΩΝ Α.Ε,1992,24,8
2771,ΑΛΕΞΙΟΣ,0622Κ012Α0000101,Ηπείρου,Ιωαννίνων,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΟΥΚΕΒΙΛ 14ΙΩΑΝΝΙΤΩΝ,45332,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΤΩΝ,,2651024003,ΑΛΕΞΙΟΣ Α.Ξ.Ε.,ΑΛΕΞΙΟΣ Α.Ξ.Ε.,1977,160,92
